BL180116	915519
BL180213	735560
BL180306	1385216
BL180410	202548
BL180508	119656
BL180613	29099
BL180704	33877
BL180801	68226
BL180913	201083
BL181009	432931
BL181105	257916
BL181211	1037949
BL190115	920653
BL190212	1063120
BL190312	1005973
BL190514	216393
BL190611	358514
BL190709	523467
BL190805	16996
BL190917	506671
BL191203	191066
BL200130	358045
BL200211	598788
BL200310	439244
BL200512	62760
BL200609	18733
BL200707	153744
BL200804	166258
BL200915	85880
BL201013	122298
BL201110	79047
BL201215	412978
