BL180116	2307301
BL180213	1647267
BL180306	2816743
BL180410	919906
BL180508	896190
BL180613	552595
BL180704	303700
BL180801	776594
BL180913	1590901
BL181009	1279166
BL181105	738575
BL181211	2787915
BL190115	2778678
BL190212	2774823
BL190312	2691106
BL190514	918480
BL190611	1605011
BL190709	856119
BL190805	117331
BL190917	717448
BL191203	640119
BL200130	788461
BL200211	1063257
BL200310	1268737
BL200512	412569
BL200609	358824
BL200707	1170347
BL200804	560854
BL200915	479793
BL201013	886393
BL201110	410421
BL201215	1453318
