BL180116	5668159
BL180213	5680442
BL180306	12399330
BL180410	1594254
BL180508	605893
BL180613	298762
BL180704	265327
BL180801	346355
BL180913	608981
BL181009	1153270
BL181105	973974
BL181211	2377300
BL190115	4651337
BL190212	5756097
BL190312	5679418
BL190514	898810
BL190611	1060771
BL190709	1081086
BL190805	342332
BL190917	948222
BL191203	1091006
BL200130	2226576
BL200211	3509758
BL200310	3189031
BL200512	508494
BL200609	226163
BL200707	447407
BL200804	796083
BL200915	357515
BL201013	475501
BL201110	521101
BL201215	2029871
