BL180116	3222820
BL180213	2382827
BL180306	4201959
BL180410	1122454
BL180508	1015846
BL180613	581694
BL180704	337577
BL180801	844820
BL180913	1791984
BL181009	1712097
BL181105	996491
BL181211	3825864
BL190115	3699331
BL190212	3837943
BL190312	3697079
BL190514	1134873
BL190611	1963525
BL190709	1379586
BL190805	134327
BL190917	1224119
BL191203	831185
BL200130	1146506
BL200211	1662045
BL200310	1707981
BL200512	475329
BL200609	377557
BL200707	1324091
BL200804	727112
BL200915	565673
BL201013	1008691
BL201110	489468
BL201215	1866296
