BL180116	7975460
BL180213	7327709
BL180306	15216073
BL180410	2514160
BL180508	1502083
BL180613	851357
BL180704	569027
BL180801	1122949
BL180913	2199882
BL181009	2432436
BL181105	1712549
BL181211	5165215
BL190115	7430015
BL190212	8530920
BL190312	8370524
BL190514	1817290
BL190611	2665782
BL190709	1937205
BL190805	459663
BL190917	1665670
BL191203	1731125
BL200130	3015037
BL200211	4573015
BL200310	4457768
BL200512	921063
BL200609	584987
BL200707	1617754
BL200804	1356937
BL200915	837308
BL201013	1361894
BL201110	931522
BL201215	3483189
