BL180116	4752640
BL180213	4944882
BL180306	11014114
BL180410	1391706
BL180508	486237
BL180613	269663
BL180704	231450
BL180801	278129
BL180913	407898
BL181009	720339
BL181105	716058
BL181211	1339351
BL190115	3730684
BL190212	4692977
BL190312	4673445
BL190514	682417
BL190611	702257
BL190709	557619
BL190805	325336
BL190917	441551
BL191203	899940
BL200130	1868531
BL200211	2910970
BL200310	2749787
BL200512	445734
BL200609	207430
BL200707	293663
BL200804	629825
BL200915	271635
BL201013	353203
BL201110	442054
BL201215	1616893
