project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379335	AH6136	ICM0018_SAG.1_MALV-I	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379336	AH6137	ICM0019_COSAG.1_Choanoflagellata	Sample not used for final dataset	2018-05-08
PRJEB108838	ERS29379337	GC1003827_F08_1	ICM0019_COSAG.1_Choanoflagellata	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379338	GC1003827_F08_2	ICM0019_COSAG.1_Choanoflagellata	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379339	P1_11	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379340	P2_14	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379341	P2_18	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379342	P2_72	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379343	P2_84	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379344	P3_08	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379345	AH6138	ICM0020_SAG.1_MALV-II	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379346	AH6139	ICM0021_SAG.1_MALV-I	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379347	AH6140	ICM0022_SAG.1_MALV-II	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379348	AH6141	ICM0023_SAG.1_MAST-8	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379349	AH6160	ICM0024_COSAG.1_MAST-8	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379350	AH6174	ICM0024_COSAG.1_MAST-8	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379351	AH6163	ICM0025_SAG.1_Dictyochophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379352	AH6165	ICM0026_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379353	AH6166	ICM0026_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379354	AH6119	ICM0027_SAG.1_Dictyochophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379355	AH6125	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379356	P3_91	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379357	P4_07	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379358	P4_26	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379359	P4_29	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379360	P4_51	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379361	P4_76	ICM0028_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379362	AH6126	ICM0029_SAG.1_Chrysophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379363	AH6130	ICM0030_SAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379364	AH6131	ICM0031_SAG.1_Chrysophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379365	AH6135	ICM0032_SAG.1_MALV-II	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379366	AH6146	ICM0033_SAG.1_MALV-II	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379367	AH6167	ICM0034_SAG.1_MALV-II	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379368	AH6169	ICM0035_SAG.1_MAST-2	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379369	AH6173	ICM0036_COSAG.1_Picozoa	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379370	AP7863	ICM0036_COSAG.1_Picozoa	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379371	AP7864	ICM0036_COSAG.1_Picozoa	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379372	AP7865	ICM0036_COSAG.1_Picozoa	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379373	AH6175	ICM0037_SAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379374	AH6178	ICM0038_SAG.1_Chrysophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379375	AH6179	ICM0039_SAG.1_Telonemia	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379376	AH6181	ICM0040_SAG.1_Picozoa	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379377	P1_05	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379378	P1_17	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379379	P1_39	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379380	P1_43	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379381	P1_64	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379382	P1_83	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379383	P1_90	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
