annot	count	avg_count
7tm_1	110	0.7746478873239436
7tm_2	185	1.3028169014084507
7tm_3	947	6.669014084507042
AAA	9105	64.11971830985915
ABC_tran	14380	101.26760563380282
ATP-synt_ab	843	5.936619718309859
EGF	908	6.394366197183099
GTP_EFTU	3243	22.838028169014084
HLH	779	5.485915492957746
HSP20	672	4.732394366197183
HSP70	3266	23.0
KH_1	3671	25.85211267605634
Kunitz_BPTI	50	0.352112676056338
MCPsignal	20	0.14084507042253522
RuBisCO_large	27	0.19014084507042253
SH2	1631	11.485915492957746
SH3_1	2113	14.880281690140846
TNFR_c6	851	5.992957746478873
UPAR_LY6	1	0.007042253521126761
Actin	3252	22.901408450704224
Ank	13497	95.04929577464789
PAN_1	818	5.76056338028169
Arf	2975	20.950704225352112
Asp	2041	14.373239436619718
cNMP_binding	7442	52.40845070422535
Cadherin	1131	7.964788732394366
Crystall	15	0.1056338028169014
Cystatin	189	1.3309859154929577
Cytochrom_B_C	34	0.23943661971830985
Cytochrome_B	44	0.30985915492957744
Cytochrom_C	206	1.4507042253521127
dsrm	411	2.8943661971830985
EF-hand_1	758	5.338028169014085
Fer4	215	1.5140845070422535
Filament	23	0.1619718309859155
fn2	231	1.6267605633802817
fn3	2296	16.169014084507044
Globin	453	3.1901408450704225
GST_C	802	5.647887323943662
Gp_dh_N	459	3.232394366197183
Hemopexin	20	0.14084507042253522
Homeodomain	546	3.8450704225352115
ig	2	0.014084507042253521
Kazal_1	247	1.7394366197183098
Kringle	289	2.035211267605634
Laminin_B	84	0.5915492957746479
EGF_laminin	424	2.9859154929577465
Laminin_G_1	8	0.056338028169014086
Laminin_N	8	0.056338028169014086
Ldh_1_N	577	4.063380281690141
Ldl_recept_a	394	2.7746478873239435
Ldl_recept_b	1	0.007042253521126761
Lectin_C	855	6.02112676056338
Lig_chan	305	2.147887323943662
Lipocalin	5	0.035211267605633804
Lys	4	0.028169014084507043
Myosin_head	2777	19.556338028169016
Notch	989	6.964788732394366
p450	3315	23.345070422535212
Phospholip_A2_1	1	0.007042253521126761
Pkinase	49474	348.40845070422534
Pyr_redox	13	0.09154929577464789
Ras	10354	72.91549295774648
Response_reg	3498	24.633802816901408
RNase_H	385	2.711267605633803
RRM_1	21714	152.91549295774647
RVP	10	0.07042253521126761
RVT_1	2923	20.58450704225352
Serpin	235	1.6549295774647887
Sod_Cu	424	2.9859154929577465
Sod_Fe_N	419	2.9507042253521125
Peptidase_S8	2400	16.901408450704224
Sugar_tr	2922	20.577464788732396
Sushi	1269	8.93661971830986
Thioredoxin	6002	42.267605633802816
Thyroglobulin_1	195	1.3732394366197183
Toxin_TOLIP	3	0.02112676056338028
Trefoil	275	1.9366197183098592
Trypsin	957	6.73943661971831
TSP_1	1444	10.169014084507042
Tubulin	1709	12.035211267605634
VWA	1376	9.690140845070422
VWC	10	0.07042253521126761
VWD	223	1.5704225352112675
WAP	35	0.24647887323943662
zf-C2H2	6003	42.274647887323944
zf-C3HC4	1687	11.880281690140846
zf-CCHC	3323	23.401408450704224
Zona_pellucida	5	0.035211267605633804
RuBisCO_small	63	0.44366197183098594
Y_phosphatase	669	4.711267605633803
adh_short	5842	41.140845070422536
ADH_zinc_N	2085	14.683098591549296
Thiolase_N	781	5.5
ketoacyl-synt	1225	8.626760563380282
Fer2	758	5.338028169014085
Peptidase_C1	3504	24.676056338028168
Enolase_C	377	2.6549295774647885
Pilin	1	0.007042253521126761
COX1	63	0.44366197183098594
COX2	45	0.31690140845070425
GATase	960	6.76056338028169
Cpn60_TCP1	2219	15.626760563380282
ATP-synt_A	30	0.2112676056338028
Gln-synt_C	453	3.1901408450704225
TIM	379	2.6690140845070425
E1-E2_ATPase	3312	23.323943661971832
Photo_RC	31	0.21830985915492956
Histone	2236	15.746478873239436
HTH_1	26	0.18309859154929578
Copper-bind	53	0.3732394366197183
Alpha-amylase	796	5.605633802816901
C1_1	597	4.204225352112676
Hexapep	452	3.183098591549296
tRNA-synt_1	1201	8.45774647887324
Cyclin_N	2293	16.14788732394366
COesterase	852	6.0
DNA_pol_B	685	4.823943661971831
ATP-synt_C	1184	8.338028169014084
Lectin_legB	109	0.7676056338028169
Sigma70_r1_2	59	0.4154929577464789
peroxidase	792	5.577464788732394
Fer4_NifH	6	0.04225352112676056
Beta-lactamase	826	5.816901408450704
DNA_methylase	471	3.316901408450704
NADHdh	24	0.16901408450704225
Fibrinogen_C	127	0.8943661971830986
Oxidored_nitro	13	0.09154929577464789
Metallophos	6856	48.28169014084507
Cellulase	717	5.049295774647887
tRNA-synt_2	999	7.035211267605634
Mito_carr	17669	124.42957746478874
RecA_N	65	0.45774647887323944
Aminotran_1_2	2831	19.93661971830986
Pribosyltran	703	4.950704225352113
Sigma54_activat	21	0.14788732394366197
Pro_isomerase	3409	24.007042253521128
PGK	361	2.5422535211267605
Ribosomal_S4	389	2.73943661971831
Ribosom_S12_S23	342	2.408450704225352
HTH_AraC	4	0.028169014084507043
Cpn10	314	2.211267605633803
C2	10553	74.3169014084507
PH	8242	58.04225352112676
bZIP_1	914	6.436619718309859
Aldedh	2255	15.880281690140846
Zn_clus	1599	11.26056338028169
Cyt-b5	3003	21.14788732394366
Oxidored_molyb	262	1.8450704225352113
NAD_binding_1	1618	11.394366197183098
SNF2-rel_dom	4196	29.549295774647888
Ribosomal_S7	286	2.0140845070422535
UQ_con	4296	30.253521126760564
Iso_dh	582	4.098591549295775
Ribosomal_L2_N	88	0.6197183098591549
Glyco_hydro_19	98	0.6901408450704225
HSP90	961	6.767605633802817
OTCace	261	1.8380281690140845
DHFR_1	161	1.1338028169014085
Chitin_bind_1	126	0.8873239436619719
CAP	993	6.992957746478873
Ribosomal_S3_C	239	1.6830985915492958
Cupin_1	172	1.2112676056338028
Annexin	932	6.563380281690141
Xlink	6	0.04225352112676056
Carb_anhydrase	675	4.753521126760563
Chal_sti_synt_N	43	0.3028169014084507
GerE	23	0.1619718309859155
2-oxoacid_dh	634	4.464788732394366
Catalase	155	1.091549295774648
Disintegrin	89	0.6267605633802817
UDPGT	270	1.9014084507042253
Aminotran_3	944	6.647887323943662
Ribosomal_S19	242	1.704225352112676
DNA_gyraseB	272	1.9154929577464788
TPP_enzyme_M	290	2.0422535211267605
Lyase_1	473	3.3309859154929575
A2M	130	0.9154929577464789
ELFV_dehydrog	450	3.1690140845070425
SNF	243	1.7112676056338028
Ferritin	108	0.7605633802816901
Guanylate_cyc	7975	56.16197183098591
OSCP	165	1.1619718309859155
OMPdecase	137	0.9647887323943662
Bac_DNA_binding	46	0.323943661971831
ATP-gua_Ptrans	370	2.6056338028169015
IGPS	163	1.147887323943662
Lyase_aromatic	151	1.0633802816901408
PsaA_PsaB	41	0.2887323943661972
PK	585	4.119718309859155
Kinesin	7699	54.21830985915493
DnaJ	7313	51.5
Proteasome	2683	18.8943661971831
MIP	777	5.471830985915493
ATP-synt	223	1.5704225352112675
Glyco_hydro_1	254	1.7887323943661972
PDEase_I	2370	16.690140845070424
Profilin	344	2.4225352112676055
Ribosomal_L22	356	2.507042253521127
Ribosomal_L14	309	2.176056338028169
Resolvase	38	0.2676056338028169
ubiquitin	5821	40.99295774647887
Cofilin_ADF	1202	8.464788732394366
14-3-3	689	4.852112676056338
Alk_phosphatase	185	1.3028169014084507
Peptidase_M14	1116	7.859154929577465
