ontology	GO.ID	Term	Annotated	Significant	Expected	classic	sag_id	enriched_in
BP	GO:0006412	translation	2479	134	78.22	5.2e-9	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0110102	ribulose bisphosphate carboxylase complex assembly	5	5	0.16	3.1e-8	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006355	regulation of DNA-templated transcription	989	57	31.2	2.2e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010207	photosystem II assembly	7	4	0.22	3.2e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010206	photosystem II repair	4	3	0.13	1.2e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006096	glycolytic process	217	17	6.85	5.8e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015969	guanosine tetraphosphate metabolic process	6	3	0.19	5.8e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0001522	pseudouridine synthesis	299	21	9.43	6e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015031	protein transport	1067	57	33.66	6.6e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009058	biosynthetic process	11361	547	358.45	7.7e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010024	phytochromobilin biosynthetic process	2	2	0.06	9.9e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0017004	cytochrome complex assembly	24	4	0.76	0.001	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006396	RNA processing	1908	91	60.2	0.00124	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006352	DNA-templated transcription initiation	191	17	6.03	0.00143	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006457	protein folding	354	22	11.17	0.00213	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006260	DNA replication	411	25	12.97	0.00235	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0016310	phosphorylation	7326	127	231.14	0.00281	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006364	rRNA processing	519	25	16.37	0.00548	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015986	proton motive force-driven ATP synthesis	112	9	3.53	0.00916	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006535	cysteine biosynthetic process from serine	5	2	0.16	0.00934	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009245	lipid A biosynthetic process	15	3	0.47	0.01074	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009306	protein secretion	6	2	0.19	0.01371	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0000160	phosphorelay signal transduction system	142	10	4.48	0.0149	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009231	riboflavin biosynthetic process	64	6	2.02	0.01546	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006351	DNA-templated transcription	1815	102	57.27	0.01963	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0016226	iron-sulfur cluster assembly	74	6	2.33	0.02941	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006099	tricarboxylic acid cycle	75	6	2.37	0.03115	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006760	folic acid-containing compound metabolic process	33	3	1.04	0.03153	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010167	response to nitrate	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0000902	cell morphogenesis	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015706	nitrate transmembrane transport	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009555	pollen development	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006808	regulation of nitrogen utilization	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015995	chlorophyll biosynthetic process	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009143	nucleoside triphosphate catabolic process	39	4	1.23	0.03385	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006139	nucleobase-containing compound metabolic process	8428	388	265.91	0.03504	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0000413	protein peptidyl-prolyl isomerization	515	24	16.25	0.039	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006886	intracellular protein transport	893	41	28.18	0.04172	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0016192	vesicle-mediated transport	987	45	31.14	0.04429	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	125	8	3.94	0.04488	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006741	NADP biosynthetic process	26	3	0.82	0.04752	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009654	photosystem II oxygen evolving complex	24	17	0.84	3.7e-20	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0019898	extrinsic component of membrane	22	14	0.77	8.4e-16	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009523	photosystem II	33	24	1.15	1.7e-9	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0005840	ribosome	1388	86	48.31	2.6e-7	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009522	photosystem I	13	8	0.45	2e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009538	photosystem I reaction center	7	4	0.24	4.7e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009512	cytochrome b6f complex	2	2	0.07	0.0012	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0019867	outer membrane	97	9	3.38	0.0018	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0043231	intracellular membrane-bounded organelle	3253	134	113.23	0.0122	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009507	chloroplast	1	1	0.03	0.0348	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0045259	proton-transporting ATP synthase complex	23	3	0.8	0.0443	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003723	RNA binding	3663	187	99.35	2.2e-13	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003735	structural constituent of ribosome	1406	87	38.13	2.3e-12	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003676	nucleic acid binding	9263	458	251.24	5.9e-12	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:2001070	starch binding	39	12	1.06	3.1e-10	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003677	DNA binding	2765	130	74.99	2.1e-7	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0010277	chlorophyllide a oxygenase [overall] activity	5	4	0.14	2.6e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004556	alpha-amylase activity	5	4	0.14	2.6e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0044183	protein folding chaperone	113	13	3.06	3.5e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	975	51	26.44	9.5e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0042910	xenobiotic transmembrane transporter activity	145	14	3.93	4.5e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0015297	antiporter activity	400	26	10.85	5.9e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008168	methyltransferase activity	1768	90	47.95	1.3e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	1738	69	47.14	1.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0009982	pseudouridine synthase activity	268	19	7.27	1.6e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051536	iron-sulfur cluster binding	531	39	14.4	1.8e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008184	glycogen phosphorylase activity	5	3	0.14	1.9e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004743	pyruvate kinase activity	60	8	1.63	2.1e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0030955	potassium ion binding	60	8	1.63	2.1e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016887	ATP hydrolysis activity	3281	121	88.99	5e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051539	4 iron, 4 sulfur cluster binding	86	9	2.33	5.5e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016987	sigma factor activity	2	2	0.05	7.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0050897	cobalt ion binding	2	2	0.05	7.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016636	oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor	2	2	0.05	7.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	843	39	22.86	7.7e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004176	ATP-dependent peptidase activity	96	9	2.6	0.00122	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0043169	cation binding	11408	264	309.42	0.00156	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004386	helicase activity	518	30	14.05	0.00162	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016984	ribulose-bisphosphate carboxylase activity	3	2	0.08	0.00217	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008716	D-alanine-D-alanine ligase activity	3	2	0.08	0.00217	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016851	magnesium chelatase activity	3	2	0.08	0.00217	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0000287	magnesium ion binding	335	19	9.09	0.00228	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0071949	FAD binding	191	13	5.18	0.00231	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016881	acid-amino acid ligase activity	93	9	2.52	0.00266	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	72	7	1.95	0.0034	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003743	translation initiation factor activity	336	18	9.11	0.00527	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008373	sialyltransferase activity	14	3	0.38	0.0058	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051287	NAD binding	651	26	17.66	0.00616	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0005524	ATP binding	16735	503	453.9	0.00626	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0009001	serine O-acetyltransferase activity	5	2	0.14	0.00696	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	85	8	2.31	0.0074	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	343	20	9.3	0.00742	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051537	2 iron, 2 sulfur cluster binding	104	8	2.82	0.00751	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	46	5	1.25	0.00797	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0043565	sequence-specific DNA binding	152	10	4.12	0.00883	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0000155	phosphorelay sensor kinase activity	50	5	1.36	0.01128	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016151	nickel cation binding	33	4	0.9	0.01181	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0030145	manganese ion binding	51	5	1.38	0.01223	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0015035	protein-disulfide reductase activity	54	5	1.46	0.01541	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003887	DNA-directed DNA polymerase activity	96	7	2.6	0.01578	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0035596	methylthiotransferase activity	37	4	1	0.01751	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051082	unfolded protein binding	246	13	6.67	0.01773	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0000049	tRNA binding	145	9	3.93	0.01783	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008173	RNA methyltransferase activity	453	22	12.29	0.02189	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004525	ribonuclease III activity	23	3	0.62	0.02354	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0046406	magnesium protoporphyrin IX methyltransferase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004150	dihydroneopterin aldolase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016790	thiolester hydrolase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004134	4-alpha-glucanotransferase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003919	FMN adenylyltransferase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0015450	protein-transporting ATPase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0045300	acyl-[acyl-carrier-protein] desaturase activity	1	1	0.03	0.02712	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0047429	nucleoside triphosphate diphosphatase activity	63	5	1.71	0.02812	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008767	UDP-galactopyranose mutase activity	10	2	0.27	0.02864	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004812	aminoacyl-tRNA ligase activity	818	35	22.19	0.03172	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003951	NAD+ kinase activity	26	3	0.71	0.03256	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004332	fructose-bisphosphate aldolase activity	26	3	0.71	0.03256	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0019843	rRNA binding	210	11	5.7	0.03332	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008312	7S RNA binding	89	6	2.41	0.03429	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	28	3	0.76	0.03437	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003678	DNA helicase activity	233	12	6.32	0.03474	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004470	malic enzyme activity	46	4	1.25	0.03578	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003852	2-isopropylmalate synthase activity	12	2	0.33	0.04052	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives	49	4	1.33	0.04362	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003700	DNA-binding transcription factor activity	342	17	9.28	0.04622	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	73	5	1.98	0.04835	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015074	DNA integration	225	19	2.65	3.8e-11	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0016540	protein autoprocessing	197	9	2.32	6.1e-4	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006351	DNA-templated transcription	4693	71	55.31	0.0011	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006813	potassium ion transport	263	10	3.1	0.00127	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006412	translation	6401	108	75.44	0.00196	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0015979	photosynthesis	735	21	8.66	0.00229	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0009060	aerobic respiration	299	11	3.52	0.00278	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0043039	tRNA aminoacylation	1835	35	21.63	0.00927	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0009297	pilus assembly	1	1	0.01	0.01179	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0000160	phosphorelay signal transduction system	541	13	6.38	0.01322	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0045765	regulation of angiogenesis	44	3	0.52	0.01512	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0015986	proton motive force-driven ATP synthesis	327	9	3.85	0.01657	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006414	translational elongation	199	7	2.35	0.01724	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006338	chromatin remodeling	287	7	3.38	0.02298	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0022900	electron transport chain	242	12	2.85	0.02327	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0071816	tail-anchored membrane protein insertion into ER membrane	2	1	0.02	0.02343	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006862	nucleotide transport	195	6	2.3	0.02563	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0009772	photosynthetic electron transport in photosystem II	22	2	0.26	0.02743	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0015977	carbon fixation	60	3	0.71	0.03404	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0002098	tRNA wobble uridine modification	25	2	0.29	0.03481	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0030655	beta-lactam antibiotic catabolic process	3	1	0.04	0.03494	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0045048	protein insertion into ER membrane	28	3	0.33	0.03738	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006313	DNA transposition	26	2	0.31	0.03743	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0046034	ATP metabolic process	436	13	5.14	0.0401	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006364	rRNA processing	1327	23	15.64	0.04653	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0032264	IMP salvage	69	3	0.81	0.04827	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0005840	ribosome	3656	62	41.79	0.0013	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0019028	viral capsid	1	1	0.01	0.0114	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0071203	WASH complex	217	7	2.48	0.0129	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0005634	nucleus	3620	60	41.38	0.0164	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0009521	photosystem	621	15	7.1	0.0213	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0032039	integrator complex	2	1	0.02	0.0227	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	24	2	0.27	0.0305	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0033588	elongator holoenzyme complex	25	2	0.29	0.0329	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0009538	photosystem I reaction center	66	3	0.75	0.04	ICM0002_COSAG.1_Chrysophyceae	HF
CC	GO:0017119	Golgi transport complex	69	3	0.79	0.0447	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0004129	cytochrome-c oxidase activity	12	4	0.14	8.6e-6	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	691	22	8.08	3.2e-5	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0005515	protein binding	65016	858	759.93	4.2e-5	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0016817	hydrolase activity, acting on acid anhydrides	12178	175	142.34	1.2e-4	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0003735	structural constituent of ribosome	3772	65	44.09	0.00164	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0035091	phosphatidylinositol binding	1135	25	13.27	0.00238	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0016887	ATP hydrolysis activity	7737	116	90.43	0.00466	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0051920	peroxiredoxin activity	62	4	0.72	0.00607	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0004812	aminoacyl-tRNA ligase activity	1835	36	21.45	0.00685	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0003677	DNA binding	7831	116	91.53	0.01016	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0004107	chorismate synthase activity	46	3	0.54	0.01667	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0003746	translation elongation factor activity	173	6	2.02	0.01669	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0046872	metal ion binding	31044	298	362.85	0.0219	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0008237	metallopeptidase activity	2202	31	25.74	0.02422	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0016168	chlorophyll binding	21	2	0.25	0.02475	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0005471	ATP:ADP antiporter activity	140	5	1.64	0.0249	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0043743	LPPG:FO 2-phospho-L-lactate transferase activity	22	2	0.26	0.02702	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0000155	phosphorelay sensor kinase activity	146	5	1.71	0.02913	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0003697	single-stranded DNA binding	99	4	1.16	0.02926	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0008800	beta-lactamase activity	3	1	0.04	0.03466	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0004359	glutaminase activity	61	3	0.71	0.03478	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0051536	iron-sulfur cluster binding	1965	33	22.97	0.03498	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	1656	28	19.36	0.04723	ICM0002_COSAG.1_Chrysophyceae	HF
MF	GO:0003876	AMP deaminase activity	69	3	0.81	0.04732	ICM0002_COSAG.1_Chrysophyceae	HF
BP	GO:0006075	(1->3)-beta-D-glucan biosynthetic process	32	13	1.1	1.7e-11	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0016567	protein ubiquitination	492	40	16.92	6.2e-7	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0009101	glycoprotein biosynthetic process	332	29	11.42	1.1e-6	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0015979	photosynthesis	28	6	0.96	4.8e-4	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0120009	intermembrane lipid transfer	31	6	1.07	5.8e-4	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0006535	cysteine biosynthetic process from serine	6	3	0.21	7.5e-4	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0000272	polysaccharide catabolic process	217	18	7.46	9.7e-4	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0000271	polysaccharide biosynthetic process	42	18	1.44	0.00116	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0030244	cellulose biosynthetic process	2	2	0.07	0.00118	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0009052	pentose-phosphate shunt, non-oxidative branch	17	4	0.58	0.00232	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	171	14	5.88	0.00248	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0032259	methylation	401	21	13.79	0.00282	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0032955	regulation of division septum assembly	3	2	0.1	0.00346	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0000160	phosphorelay signal transduction system	144	12	4.95	0.00423	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0006396	RNA processing	1899	82	65.31	0.00464	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0006516	glycoprotein catabolic process	4	2	0.14	0.00677	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0015693	magnesium ion transport	250	16	8.6	0.01341	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0000413	protein peptidyl-prolyl isomerization	519	28	17.85	0.01373	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0001522	pseudouridine synthesis	296	18	10.18	0.01478	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0006526	arginine biosynthetic process	8	2	0.28	0.02883	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0006760	folic acid-containing compound metabolic process	33	3	1.13	0.03437	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0010024	phytochromobilin biosynthetic process	1	1	0.03	0.03439	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0000902	cell morphogenesis	1	1	0.03	0.03439	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0015995	chlorophyll biosynthetic process	1	1	0.03	0.03439	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0006935	chemotaxis	1	1	0.03	0.03439	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0032958	inositol phosphate biosynthetic process	55	5	1.89	0.04035	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0016226	iron-sulfur cluster assembly	74	6	2.54	0.04198	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0015936	coenzyme A metabolic process	76	6	2.61	0.043	ICM0003_COSAG.1_Prymnesiophyceae	PF
BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	75	6	2.58	0.04436	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0000148	1,3-beta-D-glucan synthase complex	32	13	1.19	4.5e-11	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0043231	intracellular membrane-bounded organelle	3232	113	120.66	1.1e-4	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0009654	photosystem II oxygen evolving complex	11	4	0.41	5.2e-4	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0019898	extrinsic component of membrane	11	3	0.41	0.00683	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0016459	myosin complex	645	36	24.08	0.01105	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0000139	Golgi membrane	205	14	7.65	0.02207	ICM0003_COSAG.1_Prymnesiophyceae	PF
CC	GO:0009507	chloroplast	1	1	0.04	0.03733	ICM0003_COSAG.1_Prymnesiophyceae	PF
MF	GO:0003843	1,3-beta-D-glucan synthase activity	32	13	1.15	2.9e-11	ICM0003_COSAG.1_Prymnesiophyceae	PF
