annot	count_bg	avg_count	count_fg	species	pval	pval_adj	species_count
RbcX	36.0	0.2535211267605634	5.0	ICM0001_COSAG.1_Mamiellophyceae	8.530113239884541e-07	0.0004459310562359641	1
Rubis-subs-bind	602.0	4.23943661971831	10.0	ICM0001_COSAG.1_Mamiellophyceae	0.0003235152863269127	0.048182720504475536	1
Sel1	27035.0	190.387323943662	35.0	ICM0001_COSAG.1_Mamiellophyceae	7.734397533955253e-18	2.965110201267312e-14	1
TIC20	72.0	0.5070422535211268	4.0	ICM0001_COSAG.1_Mamiellophyceae	0.0003108315650878479	0.04703781355362288	1
TPR_12	7630.0	53.732394366197184	9.0	ICM0001_COSAG.1_Mamiellophyceae	3.098663819923505e-06	0.0013706820228053934	1
YadA_head	91.0	0.6408450704225352	9.0	ICM0001_COSAG.1_Mamiellophyceae	5.358122360731298e-10	4.7402896362131276e-07	1
tRNA_U5-meth_tr	274.0	1.9295774647887325	7.0	ICM0001_COSAG.1_Mamiellophyceae	0.0002125721428299751	0.036489436040112594	1
zf-C2H2	6003.0	42.27464788732394	4.0	ICM0001_COSAG.1_Mamiellophyceae	3.824010223929801e-07	0.0002094282932638888	1
Ank	13497.0	95.04929577464787	150.0	ICM0002_COSAG.1_Chrysophyceae	1.7835695337047754e-20	2.2782128177188997e-17	1
Ank_2	49660.0	349.71830985915494	467.0	ICM0002_COSAG.1_Chrysophyceae	3.329644974339549e-42	1.2759199541669154e-38	1
Ank_4	5299.0	37.316901408450704	76.0	ICM0002_COSAG.1_Chrysophyceae	1.6979660856840238e-16	1.9519818121023538e-13	1
Anoctamin	1087.0	7.654929577464789	26.0	ICM0002_COSAG.1_Chrysophyceae	5.697587812138797e-11	3.4473404993867164e-08	1
C2	10553.0	74.3169014084507	106.0	ICM0002_COSAG.1_Chrysophyceae	3.5899858835245278e-12	2.579404857312373e-09	1
CCDC53	406.0	2.859154929577465	15.0	ICM0002_COSAG.1_Chrysophyceae	2.5565711095118317e-09	1.1303977490364622e-06	1
Chloroa_b-bind	1649.0	11.612676056338028	23.0	ICM0002_COSAG.1_Chrysophyceae	7.299275804015587e-06	0.002208223016920084	1
DDE_Tnp_1_7	217.0	1.528169014084507	8.0	ICM0002_COSAG.1_Chrysophyceae	1.3281196862511588e-05	0.0035631743951839187	1
DOT1	358.0	2.5211267605633805	9.0	ICM0002_COSAG.1_Chrysophyceae	7.15858953317844e-05	0.013948329707359212	1
DUF285	492.0	3.464788732394366	11.0	ICM0002_COSAG.1_Chrysophyceae	3.331679833927765e-05	0.007365575263621844	1
DUF4116	5810.0	40.91549295774648	8.0	ICM0002_COSAG.1_Chrysophyceae	2.915522755434713e-05	0.006571931293426953	1
DUF5755	3.0	0.0211267605633802	4.0	ICM0002_COSAG.1_Chrysophyceae	1.6493743076354004e-08	6.538347255371229e-06	1
DUF7885	0.0	0.0	12.0	ICM0002_COSAG.1_Chrysophyceae	1.0777981042306183e-28	2.478073401247038e-25	1
DVNP	59.0	0.4154929577464789	4.0	ICM0002_COSAG.1_Chrysophyceae	0.00022784388241299966	0.04029681957261298	1
EF-hand_7	17178.0	120.97183098591547	141.0	ICM0002_COSAG.1_Chrysophyceae	1.1524301204606743e-09	5.52014027700663e-07	1
EGF_2	1234.0	8.690140845070422	27.0	ICM0002_COSAG.1_Chrysophyceae	1.6620449493777968e-10	9.553434369023575e-08	1
Ephrin_rec_like	5187.0	36.5281690140845	66.0	ICM0002_COSAG.1_Chrysophyceae	2.7262957763568656e-12	2.089433082999902e-09	1
GT_PLOD	138.0	0.971830985915493	6.0	ICM0002_COSAG.1_Chrysophyceae	6.683363549609054e-05	0.013246887476949255	1
Gly_rich_2	35.0	0.2464788732394366	4.0	ICM0002_COSAG.1_Chrysophyceae	3.439630736892933e-05	0.007460753764400218	1
Glyco_tranf_2_4	129.0	0.908450704225352	6.0	ICM0002_COSAG.1_Chrysophyceae	4.668965315157239e-05	0.009584718796972789	1
Glyco_transf_61	1335.0	9.401408450704226	21.0	ICM0002_COSAG.1_Chrysophyceae	3.062437851511174e-06	0.0009658214285348733	1
Glyco_transf_92	241.0	1.6971830985915493	11.0	ICM0002_COSAG.1_Chrysophyceae	4.308322115393763e-08	1.65094903461889e-05	1
LRR_1	8651.0	60.92253521126761	132.0	ICM0002_COSAG.1_Chrysophyceae	7.37372586361741e-30	2.1192088132036434e-26	1
LRR_14	1871.0	13.17605633802817	36.0	ICM0002_COSAG.1_Chrysophyceae	6.021467643102728e-12	3.845710668061608e-09	1
LRR_6	43563.0	306.78169014084506	79.0	ICM0002_COSAG.1_Chrysophyceae	1.1219677330672782e-23	1.8425915799059184e-20	1
MORN	29519.0	207.88028169014083	380.0	ICM0002_COSAG.1_Chrysophyceae	1.4979886799868086e-64	8.610438932564176e-61	1
NHL	2987.0	21.035211267605632	32.0	ICM0002_COSAG.1_Chrysophyceae	3.8577083804747e-05	0.008063311916715847	1
PAE	541.0	3.8098591549295775	11.0	ICM0002_COSAG.1_Chrysophyceae	7.610041804374325e-05	0.014580840097181207	1
