id	Group	Supergroup
L37204.1	Dictyochophyceae	Stramenopiles
AB042204.1	Pinguiophyceae	Stramenopiles
AB365026.1	Raphidophyceae	Stramenopiles
PQ008747.1	Synurophyceae	Stramenopiles
PQ008749.1	Synurophyceae	Stramenopiles
PP795565.1	Pirsoniales	Stramenopiles
AJ561112.1	Pirsoniales	Stramenopiles
KY980367.1	Pirsoniales	Stramenopiles
AY129068.1.1803_U|18S_rRNA|nucleus|clone_UEPACOp5|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3B|MAST-3B_sp.	MAST-3B	Stramenopiles
EF172976.1.1685_U|18S_rRNA|nucleus|clone_Q2C03N10|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3C|MAST-3C_sp.	MAST-3C	Stramenopiles
JQ781896.1.1806_U|18S_rRNA|nucleus|clone_H3S1Ae512|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3C|MAST-3C_sp.	MAST-3C	Stramenopiles
KJ763257.1.1812_U|18S_rRNA|nucleus|clone_SGUH684|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3D|MAST-3D_sp.	MAST-3D	Stramenopiles
AY129069.1.1805_U|18S_rRNA|nucleus|clone_UEPACRp5|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3F|MAST-3F_sp.	MAST-3F	Stramenopiles
JQ223005.1.1649_U|18S_rRNA|nucleus|clone_SHAU635|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3G|MAST-3G_sp.	MAST-3G	Stramenopiles
JQ781996.1.1778_U|18S_rRNA|nucleus|clone_155D3Ae6e7|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3I|MAST-3I_sp.	MAST-3I	Stramenopiles
KJ762559.1.1779_U|18S_rRNA|nucleus|clone_SGYH1295|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3I|MAST-3I_sp.	MAST-3I	Stramenopiles
JQ781999.1.1777_U|18S_rRNA|nucleus|clone_155D3Ae6gd|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3I|MAST-3I_sp.	MAST-3I	Stramenopiles
KF129819.1.1736_U|18S_rRNA|nucleus|clone_ST3900.038|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3I|MAST-3I_sp.	MAST-3I	Stramenopiles
AY381200.1.1796_U|18S_rRNA|nucleus|clone_BL000921.38|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3K|MAST-3K_sp.	MAST-3K	Stramenopiles
JQ782000.1.1797_U|18S_rRNA|nucleus|clone_155D3Ae6h6|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Nanomonadea|MAST-3|MAST-3K|MAST-3K_sp.	MAST-3K	Stramenopiles
