id	Group	Supergroup
AJ402350.1.1758_U|18S_rRNA|nucleus|clone_|Eukaryota|TSAR|Stramenopiles|Gyrista|Gyrista_X|Gyrista_XX|MAST-1|MAST-1D|MAST-1D_sp.	MAST-1D	Stramenopiles
GBSA01018018.19.1806_U|18S_rRNA|nucleus|strain_CCMP_160|Eukaryota|TSAR|Stramenopiles|Gyrista|Mediophyceae|Chaetocerotales|Chaetocerotaceae|Chaetoceros|Chaetoceros_affinis	Diatomea	Stramenopiles
MG972255.1.1729_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Mediophyceae|Chaetocerotales|Chaetocerotaceae|Chaetoceros|Chaetoceros_constrictus	Diatomea	Stramenopiles
JF790992.1.1777_U|18S_rRNA|nucleus|clone_1134|Eukaryota|TSAR|Stramenopiles|Gyrista|Mediophyceae|Chaetocerotales|Chaetocerotaceae|Chaetoceros|Chaetoceros_muelleri	Diatomea	Stramenopiles
GU823506.1.1203_U|18S_rRNA|nucleus|clone_BCB5F14RM3C05|Eukaryota|TSAR|Stramenopiles|Gyrista|Mediophyceae|Mediophyceae_X|Mediophyceae_XX|Mediophyceae_XXX|Mediophyceae_XXX_sp.	Diatomea	Stramenopiles
EF526882.1.1809_U|18S_rRNA|nucleus|clone_NIF_1D10|Eukaryota|TSAR|Stramenopiles|Gyrista|MOCH-2|MOCH-2_X|MOCH-2_XX|MOCH-2_XXX|MOCH-2_XXX_sp.	MOCH-2	Stramenopiles
HQ438119.1.1613_U|18S_rRNA|nucleus|clone_North_Pole_SI120_23|Eukaryota|TSAR|Stramenopiles|Gyrista|MOCH-2|MOCH-2_X|MOCH-2_XX|MOCH-2_XXX|MOCH-2_XXX_sp.	MOCH-2	Stramenopiles
KJ759482.1.1801_U|18S_rRNA|nucleus|clone_SGYO416|Eukaryota|TSAR|Stramenopiles|Gyrista|MOCH-2|MOCH-2_X|MOCH-2_XX|MOCH-2_XXX|MOCH-2_XXX_sp.	MOCH-2	Stramenopiles
KJ759516.1.1803_U|18S_rRNA|nucleus|clone_SGYO477|Eukaryota|TSAR|Stramenopiles|Gyrista|MOCH-2|MOCH-2_X|MOCH-2_XX|MOCH-2_XXX|MOCH-2_XXX_sp.	MOCH-2	Stramenopiles
AF438325.1.1776_U|18S_rRNA|nucleus|strain_CCMP1537|Eukaryota|TSAR|Stramenopiles|Gyrista|Pinguiophyceae|Pinguiochrysidales|Pinguiochrysidaceae|Glossomastix|Glossomastix_chrysoplasta	Pinguiophyceae	Stramenopiles
