PQ008747.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas annulata
PQ008749.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas doignonii
PQ008755.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas munda
PQ048282.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;unclassified Mamiellaceae;Mamiellaceae sp. T74399-1
PQ512808.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima
PQ512816.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia brasiliana
PQ512818.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia galaxiae
PQ645539.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pseudopedinella;Pseudopedinella elastica
LC819334.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex
FN562449.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis
PV607521.1	cellular organisms;Eukaryota;Haptista;Centroplasthelida;Pterocystida;unclassified Pterocystida;Pterocystida gen. n. sp. f AB-2025
PV791352.1	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Stephanoecidae;Acanthocorbis;Acanthocorbis camarensis
AM490987.2	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Syracosphaerales;Syracosphaeraceae;Syracosphaera;Syracosphaera pulchra
AM491021.2	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex
HM163291.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Solenicola;Solenicola setigera
